,datetime,id_producto,id_sucursal,unidades_vendidas,precio_producto,venta_total
0,25/03/2024 03:00,66,1,12,6.35,76.2
1,28/02/2024 19:00,98,2,12,42.93,515.16
2,09/01/2024 19:00,87,3,17,33.11,562.87
3,29/02/2024 21:00,137,5,13,42.54,553.02
4,28/02/2024 03:00,151,6,12,47.0,564.0
5,13/01/2024 17:00,62,3,16,21.69,347.04
6,21/01/2024 13:00,131,4,13,29.0,377.0
7,13/02/2024 21:00,103,1,6,34.36,206.16
8,22/01/2024 05:00,16,4,6,23.36,140.16
9,24/03/2024 21:00,152,3,1,9.87,9.87
10,25/03/2024 13:00,191,1,3,37.99,113.97
11,17/02/2024 06:00,150,3,6,27.78,166.68
12,09/03/2024 06:00,18,6,4,38.92,155.68
13,02/03/2024 20:00,89,3,8,45.14,361.12
14,04/02/2024 02:00,72,5,2,41.41,82.82
15,20/02/2024 06:00,149,5,12,36.9,442.8
16,14/02/2024 03:00,97,1,15,21.63,324.45
17,11/01/2024 21:00,115,1,17,16.47,279.99
18,01/03/2024 20:00,32,4,5,22.61,113.05
19,08/02/2024 01:00,160,6,15,41.32,619.8
20,28/01/2024 03:00,115,5,2,16.47,32.94
21,24/03/2024 22:00,25,5,19,7.56,143.64
22,05/01/2024 06:00,58,6,9,24.73,222.57
23,17/01/2024 20:00,42,3,7,38.36,268.52
24,20/03/2024 03:00,48,6,17,19.86,337.62
25,05/02/2024 06:00,22,2,3,39.15,117.45
26,01/02/2024 15:00,159,1,11,40.44,444.84
27,15/02/2024 18:00,67,1,18,8.2,147.6
28,11/02/2024 16:00,126,3,14,26.75,374.5
29,10/01/2024 16:00,133,3,8,43.97,351.76
30,20/02/2024 12:00,78,5,2,7.01,14.02
31,28/01/2024 04:00,186,3,11,8.87,97.57
32,06/03/2024 00:00,189,6,16,18.82,301.12
33,08/02/2024 02:00,172,5,4,24.98,99.92
34,19/01/2024 17:00,25,4,2,7.56,15.12
35,05/02/2024 11:00,35,4,11,17.52,192.72
36,25/03/2024 16:00,23,6,7,48.48,339.36
37,14/03/2024 08:00,110,5,4,23.76,95.04
