id_venta,datetime,id_producto,id_sucursal,unidades_vendidas
1,25/03/2024 03:00,66,1,12
2,28/02/2024 19:00,98,2,12
3,09/01/2024 19:00,87,3,17
4,29/02/2024 21:00,137,5,13
5,28/02/2024 03:00,151,6,12
6,13/01/2024 17:00,62,3,16
7,21/01/2024 13:00,131,4,13
8,13/02/2024 21:00,103,1,6
9,22/01/2024 05:00,16,4,6
10,24/03/2024 21:00,152,3,1
11,25/03/2024 13:00,191,1,3
12,17/02/2024 06:00,150,3,6
13,09/03/2024 06:00,18,6,4
14,02/03/2024 20:00,89,3,8
15,04/02/2024 02:00,72,5,2
16,20/02/2024 06:00,149,5,12
17,14/02/2024 03:00,97,1,15
18,11/01/2024 21:00,115,1,17
19,01/03/2024 20:00,32,4,5
20,08/02/2024 01:00,160,6,15
21,28/01/2024 03:00,115,5,2
22,24/03/2024 22:00,25,5,19
23,05/01/2024 06:00,58,6,9
24,30/01/2024 09:00,,1,19
25,17/01/2024 20:00,42,3,7
26,20/03/2024 03:00,48,6,17
27,05/02/2024 06:00,22,2,3
28,01/02/2024 15:00,159,1,11
29,15/02/2024 18:00,67,1,18
30,11/02/2024 16:00,126,3,14
31,10/01/2024 16:00,133,3,8
32,20/02/2024 12:00,78,5,2
33,10/02/2024 15:00,175,,doce
34,28/01/2024 04:00,186,3,11
35,06/03/2024 00:00,189,6,16
36,08/02/2024 02:00,172,5,4
37,19/01/2024 17:00,25,4,2
38,05/02/2024 11:00,35,4,11
39,25/03/2024 16:00,23,6,7
40,14/03/2024 08:00,110,5,4
41,12/03/2024 04:00,42,1,16
42,28/02/2024 07:00,172,5,1
43,03/02/2024 07:00,170,3,8
44,22/01/2024 00:00,63,1,12
45,12/03/2024 19:00,164,5,3
46,15/02/2024 23:00,199,3,7
47,03/02/2024 00:00,7,5,doce
48,10/01/2024 20:00,13,2,9
49,05/03/2024 22:00,116,5,3
50,13/02/2024 02:00,135,5,17
51,30/01/2024 11:00,197,1,15
52,16/03/2024 06:00,169,2,7
53,11/01/2024 00:00,38,2,17
54,04/03/2024 01:00,123,3,1
55,05/01/2024 16:00,136,4,6
56,29/03/2024 12:00,167,4,6
57,14/03/2024 14:00,102,2,7
58,28/02/2024 06:00,14,3,18
59,02/03/2024 20:00,13,2,18
60,04/03/2024 03:00,172,5,14
61,27/03/2024 06:00,186,3,19
62,24/02/2024 09:00,133,5,18
63,25/02/2024 14:00,100,5,4
64,07/02/2024 05:00,114,6,12
65,13/01/2024 05:00,51,1,9
66,17/03/2024 23:00,188,6,3
67,23/03/2024 07:00,95,6,14
68,26/02/2024 03:00,161,3,5
69,09/03/2024 20:00,187,1,12
70,04/03/2024 11:00,27,1,7
71,11/01/2024 06:00,29,5,6
72,14/03/2024 14:00,186,4,12
73,08/01/2024 20:00,82,1,12
74,01/01/2024 07:00,,1,12
75,28/03/2024 04:00,15,4,12
76,30/03/2024 23:00,51,3,18
77,22/02/2024 18:00,95,5,5
78,05/03/2024 00:00,188,5,6
79,28/03/2024 22:00,29,3,11
80,17/02/2024 02:00,82,1,6
81,15/01/2024 14:00,19,3,2
82,13/03/2024 07:00,16,6,13
83,26/01/2024 21:00,153,5,13
84,26/01/2024 09:00,134,6,4
85,23/01/2024 06:00,74,6,14
86,18/03/2024 12:00,30,1,13
87,13/03/2024 11:00,82,2,7
88,19/01/2024 02:00,7,1,19
89,12/01/2024 03:00,22,3,13
90,29/02/2024 02:00,172,4,12
91,17/01/2024 07:00,82,3,17
92,19/02/2024 20:00,155,3,14
93,08/01/2024 03:00,176,5,17
94,25/01/2024 23:00,28,4,6
95,24/03/2024 01:00,192,4,doce
96,22/02/2024 05:00,195,3,5
97,30/01/2024 06:00,74,6,15
98,14/01/2024 09:00,162,1,6
99,11/01/2024 14:00,14,6,3
100,22/03/2024 05:00,161,2,5
101,13/03/2024 21:00,129,2,14
102,09/03/2024 02:00,190,3,6
103,13/01/2024 06:00,35,3,5
104,24/03/2024 09:00,79,6,6
105,27/03/2024 08:00,172,4,5
106,08/03/2024 12:00,49,6,6
107,03/01/2024 22:00,177,3,12
108,28/03/2024 19:00,12,5,16
109,27/02/2024 16:00,192,1,19
110,11/02/2024 13:00,3,3,1
111,24/02/2024 21:00,166,5,7
112,29/03/2024 12:00,142,3,12
113,02/01/2024 11:00,115,4,3
114,18/01/2024 06:00,146,2,1
115,02/02/2024 10:00,187,1,7
116,09/02/2024 10:00,200,5,1
117,13/03/2024 14:00,62,1,4
118,29/01/2024 23:00,9,3,6
119,04/01/2024 02:00,115,4,13
